id,rda,units,tagname,nutr_desc,is_anti,user_id,is_shared
203,60,g,PRO,Protein,f,,t
204,90,g,FAT,Total lipid (fat),f,,t
205,250,g,CARB,"Carbohydrate, by difference",f,,t
207,,g,ASH,Ash,f,,t
208,2050,kcal,CAL,Energy,f,,t
209,,g,STARCH,Starch,f,,t
210,,g,SUCS,Sucrose,f,,t
211,,g,GLUS,Glucose (dextrose),f,,t
212,,g,FRUS,Fructose,f,,t
213,,g,LACS,Lactose,f,,t
214,,g,MALS,Maltose,f,,t
221,,g,ALC,"Alcohol, ethyl",f,,t
255,,g,WATER,Water,f,,t
262,,mg,CAFFN,Caffeine,f,,t
263,,mg,THEBRN,Theobromine,f,,t
268,,kJ,ENERC_KJ,Energy,f,,t
269,80,g,SUGAR,"Sugars, total",f,,t
287,,g,GALS,Galactose,f,,t
291,30,g,FIBTG,"Fiber, total dietary",f,,t
301,1300,mg,CA,"Calcium, Ca",f,,t
303,18,mg,FE,"Iron, Fe",f,,t
304,420,mg,MG,"Magnesium, Mg",f,,t
305,1250,mg,P,"Phosphorus, P",f,,t
306,4700,mg,K,"Potassium, K",f,,t
307,1500,mg,NA,"Sodium, Na",f,,t
309,11,mg,ZN,"Zinc, Zn",f,,t
312,0.9,mg,CU,"Copper, Cu",f,,t
313,,µg,FL,"Fluoride, F",f,,t
315,2.3,mg,MN,"Manganese, Mn",f,,t
317,55,µg,SE,"Selenium, Se",f,,t
318,5000,IU,VITA_IU,"Vitamin A, IU",f,,t
319,,µg,RETOL,Retinol,f,,t
320,900,µg,VITA_RAE,"Vitamin A, RAE",f,,t
321,,µg,CARTB,"Carotene, beta",f,,t
322,,µg,CARTA,"Carotene, alpha",f,,t
323,,mg,TOCPHA,Vitamin E (alpha-tocopherol),f,,t
324,400,IU,VITD_IU,Vitamin D,f,,t
325,,µg,ERGCAL,Vitamin D2 (ergocalciferol),f,,t
326,,µg,CHOCAL,Vitamin D3 (cholecalciferol),f,,t
328,20,µg,VITD,Vitamin D (D2 + D3),f,,t
334,,µg,CRYPX,"Cryptoxanthin, beta",f,,t
337,3000,µg,LYCPN,Lycopene,f,,t
338,7000,µg,LUTZEA,Lutein + zeaxanthin,f,,t
341,,mg,TOCPHB,"Tocopherol, beta",f,,t
342,,mg,TOCPHG,"Tocopherol, gamma",f,,t
343,,mg,TOCPHD,"Tocopherol, delta",f,,t
344,,mg,TOCTRA,"Tocotrienol, alpha",f,,t
345,,mg,TOCTRB,"Tocotrienol, beta",f,,t
346,,mg,TOCTRG,"Tocotrienol, gamma",f,,t
347,,mg,TOCTRD,"Tocotrienol, delta",f,,t
401,90,mg,VITC,"Vitamin C, total ascorbic acid",f,,t
404,1.2,mg,B1,Thiamin,f,,t
405,1.3,mg,B2,Riboflavin,f,,t
406,16,mg,B3,Niacin,f,,t
410,5,mg,B5,Pantothenic acid,f,,t
415,1.7,mg,B6,Vitamin B-6,f,,t
417,400,µg,B9,"Folate, total",f,,t
418,2.4,µg,B12,Vitamin B-12,f,,t
421,550,mg,CHO,"Choline, total",f,,t
428,,µg,MK4,Menaquinone-4,f,,t
429,,µg,VITK1D,Dihydrophylloquinone,f,,t
430,120,µg,VITK,Vitamin K (phylloquinone),f,,t
431,,µg,FOLAC,Folic acid,f,,t
432,,µg,FOLFD,"Folate, food",f,,t
435,,µg,FOLDFE,"Folate, DFE",f,,t
454,,mg,BETN,Betaine,f,,t
501,0.3,g,TRP_G,Tryptophan,f,,t
502,1,g,THR_G,Threonine,f,,t
503,1.4,g,ILE_G,Isoleucine,f,,t
504,2.7,g,LEU_G,Leucine,f,,t
505,2.1,g,LYS_G,Lysine,f,,t
506,0.8,g,MET_G,Methionine,f,,t
507,,g,CYS_G,Cystine,f,,t
508,1.2,g,PHE_G,Phenylalanine,f,,t
509,1.4,g,TYR_G,Tyrosine,f,,t
510,1.8,g,VAL_G,Valine,f,,t
511,1,g,ARG_G,Arginine,f,,t
512,0.8,g,HISTN_G,Histidine,f,,t
513,1,g,ALA_G,Alanine,f,,t
514,1,g,ASP_G,Aspartic acid,f,,t
515,2,g,GLU_G,Glutamic acid,f,,t
516,0.8,g,GLY_G,Glycine,f,,t
517,0.6,g,PRO_G,Proline,f,,t
518,1.6,g,SER_G,Serine,f,,t
521,,g,HYP,Hydroxyproline,f,,t
573,,mg,VITE_ADD,"Vitamin E, added",f,,t
578,,µg,B12_ADD,"Vitamin B-12, added",f,,t
601,200,mg,CHOLEST,Cholesterol,f,,t
605,0,g,FATRN,"Fatty acids, total trans",f,,t
606,30,g,FASAT,"Fatty acids, total saturated",f,,t
607,,g,F4D0,4:0,f,,t
608,,g,F6D0,6:0,f,,t
609,,g,F8D0,8:0,f,,t
610,,g,F10D0,10:0,f,,t
611,,g,F12D0,12:0,f,,t
612,,g,F14D0,14:0,f,,t
613,,g,F16D0,16:0,f,,t
614,,g,F18D0,18:0,f,,t
615,,g,F20D0,20:0,f,,t
617,,g,F18D1,18:1 undifferentiated,f,,t
618,,g,F18D2,18:2 undifferentiated,f,,t
619,,g,F18D3,18:3 undifferentiated,f,,t
620,,g,F20D4,20:4 undifferentiated,f,,t
621,0.2,g,F22D6,22:6 n-3 (DHA),f,,t
624,,g,F22D0,22:0,f,,t
625,,g,F14D1,14:1,f,,t
626,,g,F16D1,16:1 undifferentiated,f,,t
627,,g,F18D4,18:4,f,,t
628,,g,F20D1,20:1,f,,t
629,0.1,g,F20D5,20:5 n-3 (EPA),f,,t
630,,g,F22D1,22:1 undifferentiated,f,,t
631,,g,F22D5,22:5 n-3 (DPA),f,,t
636,,mg,PHYSTR,Phytosterols,f,,t
638,,mg,STID7,Stigmasterol,f,,t
639,,mg,CAMD5,Campesterol,f,,t
641,,mg,SITSTR,Beta-sitosterol,f,,t
645,35,g,FAMS,"Fatty acids, total monounsaturated",f,,t
646,25,g,FAPU,"Fatty acids, total polyunsaturated",f,,t
652,,g,F15D0,15:0,f,,t
653,,g,F17D0,17:0,f,,t
654,,g,F24D0,24:0,f,,t
662,,g,F16D1T,16:1 t,f,,t
663,,g,F18D1T,18:1 t,f,,t
664,,g,F22D1T,22:1 t,f,,t
665,,g,F18D2NFD,18:2 t not further defined,f,,t
666,,g,F18D2I,18:2 i,f,,t
669,,g,F18D2TT,"18:2 t,t",f,,t
670,,g,F18D2CLA,18:2 CLAs,f,,t
671,,g,F24D1C,24:1 c,f,,t
672,,g,F20D2CN6,"20:2 n-6 c,c",f,,t
673,,g,F16D1C,16:1 c,f,,t
674,,g,F18D1C,18:1 c,f,,t
675,,g,F18D2CN6,"18:2 n-6 c,c",f,,t
676,,g,F22D1C,22:1 c,f,,t
685,,g,F18D3CN6,"18:3 n-6 c,c,c",f,,t
687,,g,F17D1,17:1,f,,t
689,,g,F20D3,20:3 undifferentiated,f,,t
693,,g,FATRNM,"Fatty acids, total trans-monoenoic",f,,t
695,,g,FATRNP,"Fatty acids, total trans-polyenoic",f,,t
696,,g,F13D0,13:0,f,,t
697,,g,F15D1,15:1,f,,t
851,,g,F18D3CN3,"18:3 n-3 c,c,c (ALA)",f,,t
852,,g,F20D3N3,20:3 n-3,f,,t
853,,g,F20D3N6,20:3 n-6,f,,t
855,,g,F20D4N6,20:4 n-6,f,,t
856,,g,F18D3I,18:3i,f,,t
857,,g,F21D5,21:5,f,,t
858,,g,F22D4,22:4,f,,t
859,,g,F18D1TN7,18:1-11 t (18:1t n-7),f,,t
710,30,mg,DAID,Daidzein,f,,t
711,15,mg,GENI,Genistein,f,,t
712,,mg,GLYC,Glycitein,f,,t
713,45,mg,TOTISO,Total isoflavones,f,,t
714,,mg,BIOC,Biochanin A,f,,t
715,,mg,FORM,Formononetin,f,,t
716,,mg,COUM,Coumestrol,f,,t
734,10,mg,PAdimer,Proanthocyanidin dimers,f,,t
735,5,mg,PAtrimer,Proanthocyanidin trimers,f,,t
736,5,mg,PA4-6mer,Proanthocyanidin 4-6mers,f,,t
737,2,mg,PA7-10mer,Proanthocyanidin 7-10mers,f,,t
738,1,mg,PApolymer,Proanthocyanidin polymers (>10mers),f,,t
731,20,mg,CYAD,Cyanidin,f,,t
740,,mg,PETUNIDIN,Petunidin,f,,t
741,,mg,DELPH,Delphinidin ,f,,t
742,,mg,MALVIDIN,Malvidin,f,,t
743,,mg,PELA,Pelargonidin,f,,t
745,,mg,PEONIDIN,Peonidin,f,,t
749,40,mg,CATE,(+)-Catechin,f,,t
750,40,mg,EPICATEGC,(-)-Epigallocatechin,f,,t
751,40,mg,EPICATEC,(-)-Epicatechin,f,,t
752,40,mg,EPICATECG3,(-)-Epicatechin 3-gallate,f,,t
753,60,mg,EGCG,(-)-Epigallocatechin 3-gallate,f,,t
755,,mg,THEAF,Theaflavin,f,,t
756,,mg,THEAR,Thearubigins,f,,t
758,,mg,ERIOD,Eriodictyol,f,,t
759,80,mg,HESPT,Hesperetin,f,,t
762,60,mg,NARING,Naringenin,f,,t
770,30,mg,APIGEN,Apigenin,f,,t
773,20,mg,LUTEOL,Luteolin,f,,t
785,5,mg,ISORHAM,Isorhamnetin,f,,t
786,5,mg,KAEMF,Kaempferol,f,,t
788,2,mg,MYRIC,Myricetin,f,,t
789,20,mg,QUERCE,Quercetin,f,,t
791,,mg,THEA3DI,"Theaflavin-3,3'-digallate",f,,t
792,,mg,THEA3GP,Theaflavin-3'-gallate,f,,t
793,,mg,THEA3G,Theaflavin-3-gallate,f,,t
794,,mg,GALCATEGC,(+)-Gallocatechin,f,,t
